Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism
WP_087587963.1	NG_054983.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587964.1	NG_054984.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_003132320.1	NG_049889.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_023874922.1	NG_049890.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
ACQ82806.1	FJ666064.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_016263090.1	NG_049892.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587965.1	NG_054985.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587966.1	NG_054986.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587967.1	NG_054987.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587968.1	NG_054988.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587969.1	NG_054989.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587970.1	NG_054990.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587971.1	NG_054991.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_058161279.1	NG_054992.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587972.1	NG_054993.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587973.1	NG_054994.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_087587974.1	NG_054995.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245216.1	NG_055273.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245217.1	NG_055274.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_073647245.1	NG_055276.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245219.1	NG_055277.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245220.1	NG_055278.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245221.1	NG_055279.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245222.1	NG_055280.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245223.1	NG_055281.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245224.1	NG_055282.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_063864574.1	NG_049893.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_063864575.1	NG_049894.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_023108311.1	NG_049895.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_088245218.1	NG_055275.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_100931731.1	NG_056055.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_100931732.1	NG_056056.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_100931733.1	NG_056057.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_101244936.1	NG_056102.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_058169941.1	NG_056103.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_061190338.1	NG_056104.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009856.1	NG_056419.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009857.1	NG_056420.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009858.1	NG_056421.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
CBZ41773.1	FR822747.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009859.1	NG_056422.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009860.1	NG_056423.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009861.1	NG_056424.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009862.1	NG_056425.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009832.1	NG_056389.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009833.1	NG_056390.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009834.1	NG_056391.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009835.1	NG_056392.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009836.1	NG_056393.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009837.1	NG_056394.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_023115067.1	NG_049897.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
AUT06977.1	MG696099.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009838.1	NG_056396.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009839.1	NG_056397.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009840.1	NG_056398.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009841.1	NG_056399.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_100831609.1	NG_056400.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009842.1	NG_056401.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009843.1	NG_056402.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009844.1	NG_056403.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_104009845.1	NG_056404.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_063864576.1	NG_049898.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_058174497.1	NG_057582.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791185.1	NG_057583.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791186.1	NG_057584.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791187.1	NG_057585.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791188.1	NG_057586.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791189.1	NG_057587.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791190.1	NG_057588.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791191.1	NG_057589.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791192.1	NG_057590.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791193.1	NG_057591.2	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_063864577.1	NG_049899.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791194.1	NG_057592.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791195.1	NG_057593.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791196.1	NG_057594.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791197.1	NG_057595.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791198.1	NG_057596.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791199.1	NG_057597.2	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791200.1	NG_057598.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791201.1	NG_057599.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791202.1	NG_057600.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791203.1	NG_057601.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_058157026.1	NG_057602.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791204.1	NG_057603.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791205.1	NG_057604.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_109791206.1	NG_057605.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672883.1	NG_060537.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672890.1	NG_060546.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672891.1	NG_060547.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_070698497.1	NG_060548.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672892.1	NG_060549.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
AEM44533.1	JF326298.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672893.1	NG_060550.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672894.1	NG_060551.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672895.1	NG_060552.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672896.1	NG_060553.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672897.1	NG_060554.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_073669325.1	NG_060555.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_016252988.1	NG_060538.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672898.1	NG_060556.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672899.1	NG_060557.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672900.1	NG_060558.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672901.1	NG_060559.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672903.1	NG_060561.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672904.1	NG_060562.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672905.1	NG_060563.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672884.1	NG_060539.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672885.1	NG_060540.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672886.1	NG_060541.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672887.1	NG_060542.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_061193431.1	NG_060543.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672888.1	NG_060544.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
ACQ82808.1	FJ666066.1	PDC beta-lactamase	carbapenem;cephalosporin;cephamycin;monobactam;penam	antibiotic inactivation
WP_003110141.1	NG_049902.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672889.1	NG_060545.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672908.1	NG_060566.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672909.1	NG_060567.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_111672910.1	NG_060568.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_116786834.1	NG_061620.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_116786837.1	NG_061624.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_116786838.1	NG_061625.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630845.1	NG_062258.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630846.1	NG_062259.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630847.1	NG_062260.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_016562272.1	NG_049903.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630848.1	NG_062261.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630849.1	NG_062262.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630850.1	NG_062263.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630851.1	NG_062264.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630852.1	NG_062265.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630882.1	NG_062302.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_122630883.1	NG_062303.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_128268280.1	NG_063888.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823478.1	NG_066525.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_134254706.1	NG_066526.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_063864579.1	NG_049904.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823479.1	NG_066527.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823480.1	NG_066528.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_138403314.1	NG_066529.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823481.1	NG_066530.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823482.1	NG_066531.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823483.1	NG_066532.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823484.1	NG_066533.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823485.1	NG_066534.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823486.1	NG_066535.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823487.1	NG_066536.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_012074328.1	NG_049905.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823488.1	NG_066537.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823489.1	NG_066538.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823490.1	NG_066539.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_140423325.1	NG_065445.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044426.1	NG_065886.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044427.1	NG_065887.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044428.1	NG_065888.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044429.1	NG_065889.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044430.1	NG_065890.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044431.1	NG_065891.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_003137570.1	NG_049906.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044432.1	NG_065892.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044433.1	NG_065893.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044434.1	NG_065894.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044435.1	NG_065895.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044436.1	NG_065896.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044437.1	NG_065897.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044438.1	NG_065898.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044439.1	NG_065899.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044440.1	NG_065900.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044441.1	NG_065901.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_003093423.1	NG_049907.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044442.1	NG_065902.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044443.1	NG_065903.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044444.1	NG_065904.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_128550481.1	NG_065905.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044445.1	NG_065906.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044446.1	NG_065907.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044447.1	NG_065908.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044448.1	NG_065909.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044449.1	NG_065910.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044450.1	NG_065911.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_023100808.1	NG_049908.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044451.1	NG_065912.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_031638595.1	NG_065913.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044452.1	NG_065914.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044453.1	NG_065915.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_121347819.1	NG_065916.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044454.1	NG_065917.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044455.1	NG_065918.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_121286063.1	NG_065919.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044456.1	NG_065920.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044457.1	NG_065921.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_023092413.1	NG_049909.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044458.1	NG_065922.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_126118969.1	NG_065923.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044459.1	NG_065924.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044460.1	NG_065925.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_003454242.1	NG_065926.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044461.1	NG_065927.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044462.1	NG_065928.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044463.1	NG_065929.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044464.1	NG_065930.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044465.1	NG_065931.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_022580963.1	NG_049910.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044466.1	NG_065932.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044467.1	NG_065933.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044468.1	NG_065934.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_148044469.1	NG_065935.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823491.1	NG_066540.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823492.1	NG_066541.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_150823493.1	NG_066542.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_152315506.1	NG_066756.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_152315507.1	NG_066757.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461293.1	NG_068029.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_023091031.1	NG_049911.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461294.1	NG_068030.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461295.1	NG_068031.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461296.1	NG_068032.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461297.1	NG_068033.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461298.1	NG_068034.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461299.1	NG_068035.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461300.1	NG_068036.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_164461301.1	NG_068037.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247885.1	NG_068186.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247886.1	NG_068187.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
ACQ82809.1	FJ666067.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_063864581.1	NG_049913.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247887.1	NG_068188.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247888.1	NG_068189.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_134265631.1	NG_068190.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247889.1	NG_068191.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247890.1	NG_068192.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247891.1	NG_068193.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247892.1	NG_068194.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_124187209.1	NG_068195.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_134450540.1	NG_068196.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247893.1	NG_068197.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
AIG19978.1	KJ949056.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247894.1	NG_068198.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247895.1	NG_068199.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247896.1	NG_068200.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247897.1	NG_068201.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247898.1	NG_068202.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247899.1	NG_068203.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247900.1	NG_068204.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247901.1	NG_068205.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247902.1	NG_068206.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247903.1	NG_068207.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_063864582.1	NG_049915.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
WP_168247904.1	NG_068208.1	PDC beta-lactamase	carbapenem;cephalosporin;monobactam	antibiotic inactivation
